City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Santa Marinella,IT,66.69,clear sky,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
33,Kindu,CD,69.44,moderate rain,-2.95,25.95,Résidence Okanda
59,Marsaxlokk,MT,65.01,thunderstorm,35.8419,14.5431,Water's Edge
82,Ierapetra,GR,68.18,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
94,Colac,AU,69.15,light rain,-38.3333,143.5833,Otway Gate Motel
106,Wuda,CN,66.9,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
108,Bastia,FR,67.3,broken clouds,42.6667,9.3333,Hotel Santa Maria
109,Matay,EG,68.45,clear sky,28.419,30.7792,Nag Aespen
116,Tulsa,US,67.87,clear sky,36.1001,-95.9003,Hilton Garden Inn Tulsa Midtown
117,Lompoc,US,66.22,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
128,Morehead,US,69.55,scattered clouds,37.2711,-87.1764,CCI Express Inn
132,Vilhena,BR,68.79,broken clouds,-12.7406,-60.1458,Hotel Mirage
139,Crotone,IT,69.01,overcast clouds,39.0851,17.1178,Helios Hotel
143,Lagoa,PT,69.19,overcast clouds,39.05,-27.9833,Casa Das Faias
156,Yazd,IR,68.11,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
161,Puerto Ayora,EC,69.42,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
177,Cieza,ES,66.15,overcast clouds,38.24,-1.4199,Hotel San Sebastián Hospedería
230,Aras,ES,69.6,clear sky,42.5617,-2.356,Jardines de Viana Spa
231,Saint Anthony,US,66.24,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
234,Mantua,IT,65.44,broken clouds,45.1667,10.7833,Hotel la Favorita
247,Mweka,CD,67.8,light rain,-4.85,21.5667,Guest House Boshab
261,Khandbari,NP,68.79,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
275,Jalu,LY,65.95,clear sky,29.0331,21.5482,صاحبة الفخامة
292,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
350,Solwezi,ZM,65.03,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
353,Abnub,EG,69.89,clear sky,27.2696,31.1511,Romany Adly Gad
362,Shillong,IN,67.23,scattered clouds,25.5689,91.8831,Cafe Shillong Bed and Breakfast
401,Mayo,US,68.99,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
405,Guthrie,US,69.62,scattered clouds,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
409,Fortuna,US,67.48,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
411,Woodstock,CA,65.43,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
422,Grenfell,AU,65.37,overcast clouds,-33.9,148.1667,Grenfell Royal Hotel
423,Steinbach,DE,66.58,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
432,Alta Floresta,BR,69.53,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
446,Springdale,US,65.3,clear sky,36.1867,-94.1288,Springdale Inn
459,Basoko,CD,68.59,overcast clouds,1.2391,23.616,Jackyna Hotel
460,Nemuro,JP,68.43,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
490,Tucuman,AR,66.2,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
511,Toamasina,MG,68.0,moderate rain,-18.1667,49.3833,Hotel H1
515,Tukrah,LY,68.29,clear sky,32.5341,20.5791,Lagrota restaurant
562,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
573,Pachino,IT,69.84,heavy intensity rain,36.7186,15.0907,Pietra Bianca B&B
595,Mwene-Ditu,CD,66.49,overcast clouds,-7.0,23.45,Hôtel Kamas
606,Phalaborwa,ZA,67.28,broken clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
615,Goderich,CA,67.91,overcast clouds,43.7501,-81.7165,Harmony Inn
620,Albion,US,68.04,light rain,42.2431,-84.753,Days Inn by Wyndham Albion
622,Bunol,ES,65.89,overcast clouds,39.4167,-0.7833,HOTEL CONDES DE BUÑOL
625,Crawfordsville,US,69.94,overcast clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
628,Kisangani,CD,67.68,overcast clouds,0.5167,25.2,Grand Ramela Hotel
639,Kashi,CN,67.21,dust,39.4547,75.9797,帕米尔青年旅舍
653,Dingzhou,CN,68.11,moderate rain,38.5131,114.9956,宜家时尚宾馆
655,Chitipa,MW,66.83,broken clouds,-9.7024,33.2697,Tulipoka Lodges
663,Siloam Springs,US,65.48,clear sky,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
670,Bardiyah,LY,69.84,few clouds,31.7561,25.0865,بورتو بردية
