City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zyryanka,RU,65.75,150.85,32.23,66,98,9.31,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,52.12,75,39,3.09,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,53.17,65,87,19.22,light rain
3,Nalut,LY,30.3333,10.85,70.38,37,0,8.68,clear sky
4,Ushuaia,AR,-54.8,-68.3,38.86,81,40,8.05,scattered clouds
5,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
6,Mataura,NZ,-46.1927,168.8643,54.48,63,100,2.91,light rain
7,Lakatoro,VU,-16.0999,167.4164,80.44,80,94,12.53,overcast clouds
8,Clyde River,CA,70.4692,-68.5914,36.75,85,100,6.4,overcast clouds
9,Vila Velha,BR,-20.3297,-40.2925,76.95,83,90,10.36,overcast clouds
10,Port Hardy,CA,50.6996,-127.4199,48.96,88,67,3.85,broken clouds
11,Avera,US,33.194,-82.5271,71.47,62,93,6.53,overcast clouds
12,Beihai,CN,21.4833,109.1,84.85,67,48,11.45,scattered clouds
13,Santa Marinella,IT,42.0345,11.8536,66.69,82,5,12.12,clear sky
14,Matara,LK,5.9485,80.5353,84.88,67,83,9.98,broken clouds
15,Ponta Delgada,PT,37.7333,-25.6667,72.5,83,75,3.44,broken clouds
16,Bredasdorp,ZA,-34.5322,20.0403,49.55,66,70,6.13,broken clouds
17,Avarua,CK,-21.2078,-159.775,75.25,78,75,8.05,light rain
18,Kaitangata,NZ,-46.2817,169.8464,52.93,74,100,6.29,light rain
19,Omboue,GA,-1.5746,9.2618,75.99,89,100,7.2,overcast clouds
20,Richards Bay,ZA,-28.783,32.0377,61.84,80,100,19.1,light rain
21,Bluff,NZ,-46.6,168.3333,54.81,75,100,11.39,overcast clouds
22,Opuwo,NA,-18.0607,13.84,52.47,38,2,2.21,clear sky
23,Port Elizabeth,ZA,-33.918,25.5701,49.1,69,49,14.14,scattered clouds
24,Veraval,IN,20.9,70.3667,82.56,78,96,5.03,overcast clouds
25,Busselton,AU,-33.65,115.3333,63.05,46,29,13.27,scattered clouds
26,Hithadhoo,MV,-0.6,73.0833,83.61,70,22,12.77,few clouds
27,Lakes Entrance,AU,-37.8811,147.981,73.17,68,53,9.53,broken clouds
28,Yellowknife,CA,62.456,-114.3525,47.41,99,75,11.5,broken clouds
29,Magadan,RU,59.5667,150.8,43.75,71,100,6.46,overcast clouds
30,Jiaocheng,CN,24.6774,116.1389,90.97,48,7,4.05,clear sky
31,Sorong,ID,-0.8833,131.25,81.52,81,100,9.69,light rain
32,Saurimo,AO,-9.6608,20.3916,64.44,88,82,3.53,broken clouds
33,Kindu,CD,-2.95,25.95,69.44,100,100,2.51,moderate rain
34,Henties Bay,NA,-22.116,14.2845,52.86,92,16,4.56,few clouds
35,Auki,SB,-8.7676,160.7034,81.63,82,58,2.06,broken clouds
36,Narsaq,GL,60.9167,-46.05,41.22,60,1,4.92,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,8.05,broken clouds
38,Atuona,PF,-9.8,-139.0333,78.19,75,20,20.49,few clouds
39,Acapulco,MX,16.8634,-99.8901,79.57,85,70,3.18,broken clouds
40,Buraydah,SA,26.326,43.975,79.7,14,5,6.6,clear sky
41,Rikitea,PF,-23.1203,-134.9692,73.4,67,4,19.37,clear sky
42,Cabo San Lucas,MX,22.8909,-109.9124,81.14,77,100,5.59,overcast clouds
43,Toora-Khem,RU,52.4675,96.11,37.92,43,90,7.54,overcast clouds
44,Salalah,OM,17.0151,54.0924,80.69,89,75,8.05,broken clouds
45,Lebu,CL,-37.6167,-73.65,47.39,76,17,17.34,few clouds
46,Provideniya,RU,64.3833,-173.3,26.17,70,0,2.35,clear sky
47,Ahipara,NZ,-35.1667,173.1667,61.75,78,100,17.43,light rain
48,Olafsvik,IS,64.8945,-23.7142,40.23,79,100,32.21,overcast clouds
49,Sitka,US,57.0531,-135.33,40.89,81,90,8.05,light rain
50,Porbandar,IN,21.6422,69.6093,82.38,89,20,6.91,few clouds
51,Dicabisagan,PH,17.0818,122.4157,84.42,76,99,8.81,moderate rain
52,Kodiak,US,57.79,-152.4072,38.12,54,88,23.44,overcast clouds
53,Nishihara,JP,26.1842,127.7558,87.08,74,75,16.11,broken clouds
54,Klaksvik,FO,62.2266,-6.589,50.92,86,100,25.79,overcast clouds
55,Sao Filipe,CV,14.8961,-24.4956,79.47,79,58,5.79,broken clouds
56,New Norfolk,AU,-42.7826,147.0587,60.75,92,100,2.8,overcast clouds
57,Castro,BR,-24.7911,-50.0119,59.43,99,100,3.85,moderate rain
58,Chiang Rai,TH,19.9167,99.9167,88.12,68,68,1.99,broken clouds
59,Marsaxlokk,MT,35.8419,14.5431,65.01,88,75,11.5,thunderstorm
60,Hermanus,ZA,-34.4187,19.2345,51.91,71,58,4.61,broken clouds
61,Tomakomai,JP,42.6369,141.6033,74.17,52,40,4.61,scattered clouds
62,Nipawin,CA,53.3668,-104.0009,48.24,53,20,5.75,haze
63,Lithakia,GR,37.7167,20.8333,64.58,82,20,0,few clouds
64,Zemetchino,RU,53.4973,42.6163,38.46,90,46,4.18,scattered clouds
65,Kapaa,US,22.0752,-159.319,84.18,76,40,3,light rain
66,Maarianhamina,AX,60.0973,19.9348,51.66,82,90,17.27,overcast clouds
67,Mahibadhoo,MV,3.7833,72.9667,82.31,77,23,14.76,few clouds
68,Vilyuysk,RU,63.7553,121.6247,40.37,48,17,3.15,few clouds
69,Sovetskiy,RU,61.3614,63.5842,32.7,71,23,8.88,few clouds
70,Lorengau,PG,-2.0226,147.2712,86.2,62,66,6.04,broken clouds
71,Broken Hill,AU,-31.95,141.4333,75.51,30,45,20.62,scattered clouds
72,Mar Del Plata,AR,-38.0023,-57.5575,49.12,62,0,5.99,clear sky
73,Whitecourt,CA,54.1502,-115.6855,48.29,55,99,2.33,overcast clouds
74,Barrow,US,71.2906,-156.7887,28.42,80,90,11.5,overcast clouds
75,Abu Dhabi,AE,24.4667,54.3667,89.71,79,98,1.14,overcast clouds
76,Ribeira Grande,PT,38.5167,-28.7,71.22,89,91,5.64,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,31.05,95,100,15.32,light snow
78,Nanortalik,GL,60.1432,-45.2371,40.06,76,4,3.02,clear sky
79,Chuy,UY,-33.6971,-53.4616,55.65,85,100,9.62,overcast clouds
80,Talnakh,RU,69.4865,88.3972,22.84,89,35,0.47,scattered clouds
81,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,0,1.74,clear sky
82,Ierapetra,GR,35.01,25.7353,68.18,62,2,13,clear sky
83,Norman Wells,CA,65.282,-126.8329,34.86,94,100,8.63,overcast clouds
84,Bethel,US,41.3712,-73.414,64.92,87,1,4.61,clear sky
85,Ostrovnoy,RU,68.0531,39.5131,46.56,88,100,16.93,overcast clouds
86,Tiksi,RU,71.6872,128.8694,28.63,80,87,16.26,overcast clouds
