City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kudahuvadhoo,MV,2021-09-30 21:53:31,2.6708,72.8944,82.04,70,89,8.1
1,Vaini,TO,2021-09-30 21:53:31,-21.2,-175.2,73.56,88,75,8.05
2,Wladyslawowo,PL,2021-09-30 21:53:32,54.7909,18.4009,49.93,66,18,11.32
3,Castro,BR,2021-09-30 21:53:32,-24.7911,-50.0119,66.51,67,35,9.64
4,Tilichiki,RU,2021-09-30 21:53:32,60.4667,166.1,31.41,40,17,8.48
5,Rudnichnyy,RU,2021-09-30 21:53:32,59.617,52.4703,43.03,96,100,4.92
6,Cape Town,ZA,2021-09-30 21:53:16,-33.9258,18.4232,62.11,71,0,3.44
7,Evensk,RU,2021-09-30 21:53:33,61.95,159.2333,33.12,38,100,8.86
8,Port Macquarie,AU,2021-09-30 21:51:43,-31.4333,152.9167,60.76,64,100,5.66
9,Albany,US,2021-09-30 21:52:08,42.6001,-73.9662,57.33,86,99,7.0
10,Lagoa,PT,2021-09-30 21:53:33,39.05,-27.9833,70.5,86,59,4.79
11,Isangel,VU,2021-09-30 21:53:34,-19.55,169.2667,78.91,73,100,4.61
12,Puerto Colombia,CO,2021-09-30 21:53:34,10.9878,-74.9547,77.09,75,100,4.97
13,Busselton,AU,2021-09-30 21:53:34,-33.65,115.3333,61.09,89,63,16.8
14,Morondava,MG,2021-09-30 21:53:35,-20.2833,44.2833,77.58,80,43,7.09
15,Hilo,US,2021-09-30 21:50:49,19.7297,-155.09,85.28,94,90,6.91
16,Yellowknife,CA,2021-09-30 21:51:24,62.456,-114.3525,51.42,90,75,4.0
17,Hermanus,ZA,2021-09-30 21:53:35,-34.4187,19.2345,61.9,80,72,10.22
18,Gouyave,GD,2021-09-30 21:53:35,12.1646,-61.7296,84.97,74,40,11.5
19,Kokopo,PG,2021-09-30 21:53:36,-4.352,152.2633,80.67,77,100,3.58
20,Seymchan,RU,2021-09-30 21:53:36,62.8833,152.4333,25.93,90,100,5.73
21,Qaanaaq,GL,2021-09-30 21:53:36,77.484,-69.3632,27.5,87,100,13.71
22,Biltine,TD,2021-09-30 21:53:37,14.5333,20.9167,84.4,20,5,8.99
23,Neon Karlovasion,GR,2021-09-30 21:53:37,37.7903,26.7044,69.1,68,9,17.56
24,Inuvik,CA,2021-09-30 21:53:37,68.3499,-133.7218,30.96,74,20,5.75
25,Cayenne,GF,2021-09-30 21:53:38,4.9333,-52.3333,84.24,78,0,1.99
26,Bredasdorp,ZA,2021-09-30 21:53:38,-34.5322,20.0403,56.28,98,61,3.67
27,San Quintin,MX,2021-09-30 21:53:38,30.4833,-115.95,73.2,64,0,11.61
28,Ahipara,NZ,2021-09-30 21:53:39,-35.1667,173.1667,58.89,59,39,8.1
29,Baykit,RU,2021-09-30 21:53:39,61.67,96.37,30.2,94,18,2.57
30,Grindavik,IS,2021-09-30 21:53:39,63.8424,-22.4338,44.55,75,75,16.11
31,Brae,GB,2021-09-30 21:53:39,60.3964,-1.353,53.56,90,100,10.78
32,Avarua,CK,2021-09-30 21:53:40,-21.2078,-159.775,80.65,74,20,13.8
33,Fortuna,US,2021-09-30 21:53:40,40.5982,-124.1573,82.42,67,20,5.99
34,Guerrero Negro,MX,2021-09-30 21:53:40,27.9769,-114.0611,74.19,53,0,11.18
35,Te Anau,NZ,2021-09-30 21:53:41,-45.4167,167.7167,50.68,71,38,2.15
36,Khatanga,RU,2021-09-30 21:53:41,71.9667,102.5,28.76,98,100,7.16
